Listing Name,Display Name,Sector,Brief Description,Address,Website,Phone,Social Media 1,Social Media 1 Type,Social Media 2,Social Media 2 Type,Social Media 3,Social Media 3 Type,Status,ID,lon,lat
Anthony Avenue Garden,Anthony Avenue Garden,Gardens,Bronx Land Trust member garden,"2078 Anthony Ave, Bronx, NY, 10457",https://www.instagram.com/anthonyavegarden/?hl=en,,,,,,,,,1332,-73.901561,40.852845
Bainbridge Garden,Bainbridge Garden,Gardens,Bronx Land Trust member garden,"2980 Bainbridge Ave, Bronx, NY, 10458",https://www.facebook.com/bainbridgeavegarden/,,,,,,,,,1333,-73.883937,40.870947
Belmont Little Farmers,Belmont Little Farmers,Gardens,Bronx Land Trust member garden,"2485 Belmont Ave, Bronx, NY",,,,,,,,,,1334,-73.884638,40.857006
Bruckner Mott Haven Garden,Bruckner Mott Haven Garden,Gardens,Bronx Land Trust member garden,"678 E 136 Bronx NY, 10454",https://www.instagram.com/brucknermotthavengarden/,,,,,,,,,1335,-73.915239,40.803938
Cauldwell Youth Garden,Cauldwell Youth Garden,Gardens,Bronx Land Trust member garden,"551 Cauldwell Ave, Bronx, NY 10455",,,,,,,,,,1336,-73.911052,40.814167
Davidson Avenue Community Garden,Davidson Avenue Community Garden,Gardens,Bronx Land Trust member garden,"2387 Davidson Ave, Bronx, NY 10468",https://www.facebook.com/The-Bronx-Davidson-Avenue-Community-Garden-113933977012198/,,,,,,,,,1337,-73.903419,40.861393
Fordham Bedford Lot Busters,Fordham Bedford Lot Busters,Gardens,Bronx Land Trust member garden,"2599 Bainbridge Ave, Bronx, NY 10458
",,,,,,,,,,1338,-73.892641,40.864222
Grant Avenue Block Association Garden,Grant Avenue Block Association Garden,Gardens,Bronx Land Trust member garden,"1062 Grant Ave, Bronx, NY 10456",,,,,,,,,,1339,-73.916624,40.830359
Jacquline (NO ‘E’) Denise Davis Garden,Jacquline (NO ‘E’) Denise Davis Garden,Gardens,Bronx Land Trust member garden,"Boston Rd. & E 165th St. Bronx, NY, 10456
",,,,,,,,,,1340,-73.867686,40.858666
Manor Avenue Seniors Garden,Manor Avenue Seniors Garden,Gardens,Bronx Land Trust member garden,"1021 Manor Ave. Bronx, NY, 10472",,,,,,,,,,1341,-73.875631,40.824643
Mapes Avenue Garden,Mapes Avenue Garden,Gardens,Bronx Land Trust member garden,"2124 Mapes Ave. Bronx, NY, 10460",,,,,,,,,,1342,-73.884929,40.847346
Neighborhood Advisory Committee Community Garden,Neighborhood Advisory Committee Community Garden,Gardens,Bronx Land Trust member garden,"360 E 151st St. Bronx, NY, 10455",,,,,,,,,,1343,-73.918536,40.817542
Palmas del Caribe,Palmas del Caribe,Gardens,Bronx Land Trust member garden,"869 Eagle Ave. Bronx, NY, 10456",,,,,,,,,,1344,-73.908744,40.821977
Perry’s Garden,Perry’s Garden,Gardens,Bronx Land Trust member garden,"2139 Daly Ave. Bronx, NY, 10460",,,,,,,,,,1345,-73.88106,40.845979
Roberto Clemente Community Garden,Roberto Clemente Community Garden,Gardens,Bronx Land Trust member garden,"1276 Shakespeare Ave. Bronx, NY, 10452",,,,,,,,,,1346,-73.922385,40.83896
"Sun, Wind and Shade Oasis","Sun, Wind and Shade Oasis",Gardens,Bronx Land Trust member garden,"955 Sherman Ave. Bronx, NY, 10456",,,,,,,,,,1347,-73.919421,40.828369
The William Rainey Garden,The William Rainey Garden,Gardens,Bronx Land Trust member garden,"685 Beck St. Bronx, NY, 10455",,,,,,,,,,1348,-73.901081,40.81507
Tremont Community Garden,Tremont Community Garden,Gardens,Bronx Land Trust member garden,"1981 Lafontaine Ave. Bronx, NY, 10457",https://www.facebook.com/john.perterson.904/,,,,,,,,,1349,-73.894227,40.847087
"Q Gardens Community Farm
","Q Gardens Community Farm
",Gardens,"Brooklyn Queens Land Trust affiliate garden - Q Gardens opened in early 2015 after 2.5 years of organizing efforts by the local community. The garden is located on Metropolitan Transit Authority (MTA) property. The requirements for signing a lease with MTA were difficult for a community group to meet, so Q Gardens joined BQLT as its first affiliate (leased) garden. It has since become a vibrant community green space with an active community composting program. ","58 East 18th Street, Brooklyn, Flatbush, NY, 11226",https://qgardenscf.com/,,,,,,,,,1350,-73.963466,40.649749
"Transit Garden
","Transit Garden
",Gardens,Brooklyn Queens Land Trust affiliate garden (leased from MTA),"134 2nd Pl, Brooklyn, Carroll Gardens, NY,11231",https://transitgarden.org/,,,,,,,,,1351,-73.9962,40.678948
"1100 Block Bergen Street Community Garden
","1100 Block Bergen Street Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - 1100 Block Bergen Street Community Garden is a vibrant green space that has functioned as a neighborhood hub since 1980. The garden features individual garden plots, a large gazebo, colorful and diverse ornamental plantings, and flexible open space and seating for events and gatherings. Originally built on a combination of City-owned and private land, 1100 Block Bergen Street Community Garden was purchased by the Trust for Public Land and transferred to the garden group in 1989. In 2015, the garden deed was transferred to BQLT as a way to ensure that the space will remain a garden in perpetuity","1107 Bergen Street, Brooklyn, Crown Heights, NY 11216",https://www.facebook.com/1100-Bergen-Street-Community-Garden-118493218181017/,,,,,,,,,1352,-73.949151,40.676248
"227th Street Cambria Heights Community Garden
","227th Street Cambria Heights Community Garden
",Gardens,Brooklyn Queens Land Trust member garden,"116-98 227th St, Cambria Heights, NY 11411",https://bqlt.org/garden/227th-street-cambria-heights-community-garden,,,,,,,,,1353,-73.7342,40.693406
"Back to Eden Community Garden
","Back to Eden Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Back to Eden Community Garden has an inspirational history. Founding members Ella and Percy Heron worked in the garden for over 20 years, devoting themselves to improving their community’s quality of life. The garden, formerly known as The Garden of Eden, was renamed Back to Eden Community Garden in their honor. Since reopening in 2004, this beloved green space has continued to be cared for by dedicated members of the surrounding community.","144-29 Lakewood Avenue, Queens, Jamaica, NY 11435",https://bqlt.org/garden/back-to-eden-community-garden,,,,,,,,,1354,-73.803462,40.690065
"Central Bainbridge St. Community Garden
","Central Bainbridge St. Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Once a debris-ridden lot littered with the remains of two demolished buildings, eight women volunteers from the neighborhood block association began clearing the land in 1978 to create Central Bainbridge Community Garden. The garden now boasts vibrant green vegetable plots, a gazebo, and shaded seating area where local residents gather for cookouts and other social events. The garden also regularly hosts visits from students from P.S. 40.","277-279 Bainbridge Street, Brooklyn, Bed-Stuy, 11233",https://bqlt.org/garden/central-bainbridge-st-community-garden,,,,,,,,,1355,-73.925649,40.6818
